epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.473,1.57135,3.07884,1.36292,0.79918,0.68619,0.7848,0.38828,1.59605,2.44268,1.34579,0.000662813,0.000662813,0.000662813
2,1232.65,1.6249,2.42876,1.44192,0.86577,0.78161,0.84122,0.40577,1.6647,2.15202,1.53949,0.00128561,0.00128561,0.00128561
3,1524.34,1.59185,2.3029,1.43808,0.89058,0.73563,0.82005,0.40358,1.59578,2.27789,1.34274,0.0018644,0.0018644,0.0018644
4,1700.94,1.57679,2.02131,1.35005,0.84796,0.78161,0.82116,0.46689,1.55861,1.8031,1.49905,0.001802,0.001802,0.001802
5,1880.41,1.59846,1.89928,1.45427,0.87508,0.75862,0.83918,0.41431,1.61958,1.79249,1.43028,0.001736,0.001736,0.001736
6,2044.16,1.59373,1.89342,1.4788,0.8992,0.75862,0.84156,0.42127,1.55723,2.00824,1.41417,0.00167,0.00167,0.00167
7,2250.98,1.54232,1.7521,1.43198,0.73618,0.76979,0.73573,0.36052,1.57206,1.68203,1.37292,0.001604,0.001604,0.001604
8,2429.13,1.59066,1.65555,1.40642,0.85576,0.73563,0.81889,0.43382,1.55744,1.51601,1.39284,0.001538,0.001538,0.001538
9,2599.42,1.50672,1.57549,1.37928,0.70613,0.73563,0.70569,0.34047,1.62642,1.56615,1.45742,0.001472,0.001472,0.001472
10,2794.01,1.57426,1.46106,1.42685,0.85572,0.81809,0.87984,0.5046,1.43557,1.28838,1.31685,0.001406,0.001406,0.001406
11,2961.81,1.50455,1.33178,1.37332,0.79152,0.82917,0.82081,0.43606,1.48211,1.26481,1.32916,0.00134,0.00134,0.00134
12,3127.63,1.50094,1.32494,1.39052,0.79333,0.8046,0.76551,0.38386,1.55871,1.35381,1.41153,0.001274,0.001274,0.001274
13,3308.41,1.44425,1.21281,1.34671,0.86739,0.82759,0.89383,0.4752,1.45802,1.21862,1.33307,0.001208,0.001208,0.001208
14,3493.38,1.44055,1.17688,1.31464,0.76862,0.85057,0.82508,0.43027,1.50142,1.25413,1.41327,0.001142,0.001142,0.001142
15,3675.3,1.42788,1.18672,1.32902,0.89592,0.7916,0.88642,0.4672,1.56795,1.09681,1.37235,0.001076,0.001076,0.001076
16,3860.19,1.46073,1.16343,1.34475,0.75346,0.82759,0.78805,0.45159,1.43917,1.0877,1.31154,0.00101,0.00101,0.00101
17,4053.2,1.4096,1.11934,1.34634,0.83259,0.83908,0.82225,0.39881,1.62082,1.14315,1.39206,0.000944,0.000944,0.000944
18,4244.1,1.34043,1.0693,1.26037,0.82144,0.86207,0.86085,0.46762,1.46974,1.13074,1.29937,0.000878,0.000878,0.000878
19,4432.46,1.33115,1.0134,1.28342,0.70826,0.82759,0.70386,0.37934,1.53739,1.22908,1.30292,0.000812,0.000812,0.000812
20,4621.72,1.3474,1.01646,1.27563,0.91096,0.82324,0.88722,0.50027,1.4281,1.04629,1.28638,0.000746,0.000746,0.000746
21,4813.21,1.32254,1.01111,1.2543,0.89783,0.7931,0.87797,0.47777,1.51557,1.04948,1.31815,0.00068,0.00068,0.00068
22,5001.34,1.2513,0.95657,1.24905,0.87616,0.83908,0.9005,0.50824,1.42693,0.99617,1.28677,0.000614,0.000614,0.000614
23,5186.35,1.25528,0.89732,1.20929,0.84734,0.82942,0.8587,0.48883,1.43706,0.99585,1.27093,0.000548,0.000548,0.000548
24,5354.63,1.2402,0.85694,1.20915,0.87649,0.8046,0.86253,0.48865,1.4343,0.97384,1.28235,0.000482,0.000482,0.000482
25,5531.56,1.23465,0.86635,1.20326,0.88517,0.7931,0.85509,0.46296,1.45981,1.02829,1.29141,0.000416,0.000416,0.000416
26,5711.05,1.1699,0.82324,1.18335,0.87087,0.85057,0.86057,0.51286,1.37134,0.96787,1.27601,0.00035,0.00035,0.00035
27,5901.92,1.19483,0.81308,1.19239,0.88549,0.83908,0.87664,0.5166,1.38031,0.96066,1.27273,0.000284,0.000284,0.000284
28,6104.03,1.16802,0.80762,1.18669,0.88474,0.83908,0.874,0.51457,1.38965,0.94702,1.28574,0.000218,0.000218,0.000218
29,6300.36,1.12989,0.77828,1.16364,0.86648,0.8046,0.86215,0.49159,1.42652,0.95551,1.28994,0.000152,0.000152,0.000152
30,6470.95,1.13856,0.77772,1.13842,0.88881,0.82697,0.86808,0.48386,1.42285,0.96051,1.28902,8.6e-05,8.6e-05,8.6e-05
