Frame,Plate,YOLO Confidence,OCR Confidence
1,K061522V,0.46556180715560913,0.11352161548575804
1,Petrol,0.3138386905193329,0.6258747729960364
2,K0e5z2v,0.46096500754356384,0.017305020761523755
2,Petrol,0.32293930649757385,0.6335288930257897
3,KK0g15221,0.467917263507843,0.09892221968109459
3,Petrol,0.32086923718452454,0.6197720939861543
4,KOEL522v,0.4108964204788208,0.1328969169608553
4,Petrol,0.3123305141925812,0.6517919459462902
5,K0E15221,0.43033117055892944,0.1414402376708348
5,Petro,0.2618030905723572,0.9705409993288198
6,M0EL522V,0.39377477765083313,0.05978730055928725
6,Petro,0.2932576537132263,0.9750193660763956
7,I0e6221,0.3833123445510864,0.012503073804655629
7,Petro,0.26623451709747314,0.9629262393075696
8,"""K0615221",0.41868430376052856,0.05273231312633312
8,Petro,0.2656713128089905,0.964895610502908
9,KOE1522V,0.38223996758461,0.14202624070529454
10,KKOG,0.38583528995513916,0.6117580533027649
10,122v,0.38583528995513916,0.05624692887067795
11,KOG,0.40964460372924805,0.42034745759917747
11,6221,0.40964460372924805,0.11962510645389557
12,LKOG,0.38921263813972473,0.5354124651576
12,1522v,0.38921263813972473,0.42926544245499526
13,(K0615221,0.42518433928489685,0.07611419042115095
13,Petro,0.25264206528663635,0.5437842499012806
14,K0EL5220,0.41646191477775574,0.06165078332820111
14,Petro,0.28122687339782715,0.6113690484298722
15,KoEL5221,0.43298986554145813,0.14335443907150222
15,Petro,0.28736773133277893,0.5575681557402353
16,KOE,0.47146543860435486,0.2002822806366747
16,6221,0.47146543860435486,0.30312299728393555
16,Petro,0.3124087154865265,0.589722250713964
17,Kog,0.4594033658504486,0.058254538039343516
17,1221,0.4594033658504486,0.11574465036392212
17,Petro,0.34233587980270386,0.6440804577622639
18,4K0E1522V,0.4163289964199066,0.12871918971193083
18,Petro,0.3750905990600586,0.6620669431404346
19,K0E15221,0.4205603301525116,0.31407511792013126
19,Petro,0.3685433268547058,0.9658535518991908
20,K0g1522v,0.5007616877555847,0.19610264014865364
20,Petro,0.382869154214859,0.9794734738072512
21,10g15221V,0.5287246704101562,0.07921750183565204
21,Petro,0.3984515964984894,0.9726537841000498
22,K0E22V,0.43954285979270935,0.17681901109345477
22,Petro,0.3729168176651001,0.9732334534054538
23,Petro,0.4235568046569824,0.9699998238852373
23,KOG,0.3956103026866913,0.2789827001906174
23,622,0.3956103026866913,0.7968348402690758
24,K0615221,0.4461503028869629,0.4887390906771319
24,Petro,0.44003918766975403,0.6718991666875058
25,{KOG15221,0.4879337549209595,0.029883016285424686
25,Petro,0.4251554608345032,0.6373156536027631
26,KoEL5221,0.4700540006160736,0.053617886289332124
26,Petro,0.42926234006881714,0.6685801253809969
27,Ko665221,0.4595113694667816,0.10452206001205852
27,Petro,0.4017544388771057,0.6103717836349067
28,KOG,0.4401107728481293,0.21762869105455399
28,Ezv,0.4401107728481293,0.14226580766632155
28,Petro,0.4099232852458954,0.5701689837729836
29,Petro,0.42463523149490356,0.2717815051075567
29,KoEL5221,0.38376089930534363,0.06534602929930096
30,CKOG,0.4222482740879059,0.04063030332326889
30,F22,0.4222482740879059,0.2650412648210659
30,Petro,0.3906320035457611,0.28795192602226194
31,[K0E1522V,0.45973268151283264,0.16790077383805957
31,Petro,0.37954121828079224,0.3054593796744444
32,(K0G5221,0.5220289826393127,0.16993800012302254
32,Petro,0.3966476023197174,0.30438733641737087
33,[K0g5221,0.4528501033782959,0.07455203625403904
33,Petro,0.3731124997138977,0.3686089520332771
34,LK0g 5221,0.46195289492607117,0.05931153154050085
34,Petro,0.31306031346321106,0.4241810121820407
35,[K06L5221,0.4173094630241394,0.09794061288227068
35,Petro,0.2989470660686493,0.5308860034069042
36,[K0g5221,0.40873292088508606,0.3427608630927492
36,Petro,0.2796396315097809,0.5443519092887593
